01255,42.1094,-73.1163,Northwest CT,http://nwct.craigslist.org/,Connecticut
01257,42.1001,-73.3611,Northwest CT,http://nwct.craigslist.org/,Connecticut
01258,42.1012,-73.4566,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01259,42.078,-73.2609,Northwest CT,http://nwct.craigslist.org/,Connecticut
01260,42.2866,-73.3133,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01262,42.301,-73.3223,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01263,42.3929,-73.2285,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01264,42.22,-73.1979,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01266,42.3348,-73.3825,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01267,42.7089,-73.2036,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01270,42.515,-73.0412,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01301,42.6013,-72.6236,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01302,42.5222,-72.6242,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01330,42.5232,-72.811,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01331,42.5473,-72.1839,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01337,42.6952,-72.5772,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01338,42.5736,-72.8213,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01339,42.608,-72.8901,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01340,42.679,-72.7265,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01341,42.5138,-72.7025,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01342,42.5406,-72.6072,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01343,42.6427,-72.9862,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01344,42.6076,-72.4292,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01346,42.6853,-72.8391,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01347,42.5566,-72.5181,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01349,42.5725,-72.4832,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01350,42.7215,-72.9762,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01355,42.5146,-72.3062,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01360,42.6887,-72.451,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01364,42.6129,-72.2924,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01366,42.4898,-72.1893,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01367,42.6953,-72.9258,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01368,42.6722,-72.1964,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01369,42.5222,-72.6242,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01370,42.6022,-72.7391,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01373,42.4756,-72.6153,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01375,42.4539,-72.5676,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01376,42.5954,-72.5557,Western Massachusetts,http://westernmass.craigslist.org/,Massachusetts
01378,42.6671,-72.3397,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01379,42.5656,-72.4009,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01380,42.5534,-72.3927,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01420,42.5796,-71.8031,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01430,42.6496,-71.9267,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01431,42.6745,-71.8174,New Hampshire,http://nh.craigslist.org/,New Hampshire
01432,42.5591,-71.5788,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01434,42.5385,-71.6115,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01440,42.574,-71.9898,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01453,42.5274,-71.7563,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01467,42.4871,-71.6131,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01470,42.4464,-71.4594,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01501,42.2055,-71.8391,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01504,42.0287,-71.5269,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01507,42.1379,-71.9664,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01508,42.1097,-72.0795,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01510,42.4181,-71.6828,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01516,42.0528,-71.7509,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01518,42.1228,-72.1178,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01519,42.2004,-71.6868,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01520,42.342,-71.8414,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01521,42.0403,-72.1544,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01522,42.3755,-71.8706,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01523,42.451,-71.6868,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01524,42.237,-71.9188,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01525,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01526,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01527,42.1968,-71.7644,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01529,42.0331,-71.5798,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01531,42.3198,-72.1306,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01532,42.3182,-71.6464,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01534,42.1494,-71.6564,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01535,42.2665,-72.0821,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01536,42.2297,-71.7037,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01537,42.1655,-71.886,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01540,42.1128,-71.8687,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01543,42.3762,-71.949,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01545,42.2848,-71.7205,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01546,42.3648,-71.8969,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
01550,42.075,-72.0353,worcester / central MA,http://worcester.craigslist.org/,Massachusetts
